Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,personal_expenses,education_expenses,daily_essentials_expenses,discretionary_expenses
0,19,Non-binary,Freshman,Psychology,958,270,5939,709,296,123,188,41,78,134,127,72,Credit/Debit Card,205,6127,419,113
1,24,Female,Junior,Economics,1006,875,4908,557,365,85,252,74,92,226,129,68,Credit/Debit Card,221,5160,450,142
2,24,Non-binary,Junior,Economics,734,928,3051,666,220,137,99,130,23,239,112,133,Cash,135,3150,357,263
3,23,Female,Senior,Computer Science,617,265,4935,652,289,114,223,99,30,163,105,55,Mobile Payment App,135,5158,403,154
4,20,Female,Senior,Computer Science,810,522,3887,825,372,168,194,48,71,88,71,104,Credit/Debit Card,142,4081,540,152
5,25,Non-binary,Sophomore,Computer Science,523,790,3151,413,386,122,131,73,38,234,108,99,Mobile Payment App,146,3282,508,172
6,23,Female,Freshman,Engineering,1354,69,4973,812,398,101,213,21,38,157,117,48,Credit/Debit Card,155,5186,499,69
7,23,Female,Junior,Economics,631,748,3966,571,269,92,251,37,90,152,56,62,Mobile Payment App,146,4217,361,99
8,22,Non-binary,Senior,Computer Science,1402,248,5638,599,354,82,155,123,41,162,172,194,Credit/Debit Card,213,5793,436,317
9,18,Female,Junior,Computer Science,1423,74,3977,626,249,117,123,51,74,243,34,196,Mobile Payment App,108,4100,366,247
10,23,Male,Junior,Biology,762,615,4093,660,262,58,183,98,21,274,66,50,Credit/Debit Card,87,4276,320,148
11,25,Male,Freshman,Engineering,1068,19,5138,734,243,200,228,57,57,209,193,146,Credit/Debit Card,250,5366,443,203
12,21,Male,Sophomore,Economics,719,540,4863,894,280,120,126,41,50,78,113,114,Credit/Debit Card,163,4989,400,155
13,19,Female,Junior,Biology,1176,859,5201,626,234,50,274,20,77,125,199,103,Mobile Payment App,276,5475,284,123
14,24,Non-binary,Freshman,Economics,1496,75,5301,657,151,63,92,124,64,196,50,117,Cash,114,5393,214,241
15,22,Non-binary,Sophomore,Computer Science,1227,26,4175,884,328,167,175,111,96,73,154,109,Cash,250,4350,495,220
16,23,Female,Freshman,Psychology,1419,237,5450,883,361,200,141,76,22,285,185,76,Cash,207,5591,561,152
17,21,Female,Freshman,Computer Science,1454,851,3538,754,357,110,188,33,24,50,74,46,Mobile Payment App,98,3726,467,79
18,19,Female,Sophomore,Psychology,1487,311,4401,883,292,69,51,75,60,105,181,164,Credit/Debit Card,241,4452,361,239
19,20,Female,Senior,Engineering,1157,401,3131,886,196,131,216,57,39,264,39,174,Mobile Payment App,78,3347,327,231
20,19,Male,Junior,Psychology,1180,732,4206,597,254,195,67,51,21,97,185,46,Credit/Debit Card,206,4273,449,97
21,24,Male,Sophomore,Computer Science,516,549,4878,814,286,180,282,55,25,77,73,184,Mobile Payment App,98,5160,466,239
22,18,Non-binary,Sophomore,Biology,1225,610,4998,473,159,134,294,37,86,159,60,43,Cash,146,5292,293,80
23,24,Non-binary,Senior,Economics,582,285,4210,421,348,138,143,62,85,218,113,60,Credit/Debit Card,198,4353,486,122
24,19,Female,Senior,Economics,1062,56,4500,731,238,103,76,111,95,238,74,83,Mobile Payment App,169,4576,341,194
25,25,Female,Junior,Biology,1054,528,5486,789,400,81,211,95,74,237,140,136,Mobile Payment App,214,5697,481,231
26,20,Male,Senior,Economics,667,690,3541,762,173,185,288,53,38,84,159,137,Credit/Debit Card,197,3829,358,190
27,20,Female,Junior,Psychology,796,705,5616,664,291,179,260,127,21,113,194,80,Credit/Debit Card,215,5876,470,207
28,24,Non-binary,Sophomore,Psychology,905,671,4156,444,163,131,141,132,31,156,95,128,Credit/Debit Card,126,4297,294,260
29,23,Non-binary,Junior,Engineering,531,448,3099,742,394,179,95,64,62,73,104,173,Mobile Payment App,166,3194,573,237
30,23,Non-binary,Freshman,Economics,1426,3,5943,677,296,110,137,146,21,155,105,26,Mobile Payment App,126,6080,406,172
31,23,Male,Sophomore,Psychology,1465,302,5417,468,113,190,134,119,82,276,165,191,Mobile Payment App,247,5551,303,310
32,24,Non-binary,Junior,Computer Science,522,555,5236,860,169,133,147,123,48,138,89,150,Credit/Debit Card,137,5383,302,273
33,25,Female,Freshman,Economics,1338,110,5615,468,325,158,244,98,46,231,183,80,Cash,229,5859,483,178
34,23,Male,Junior,Biology,1363,365,3222,695,185,166,99,116,68,77,31,161,Mobile Payment App,99,3321,351,277
35,21,Male,Freshman,Biology,1328,320,3090,718,254,93,204,74,30,228,60,179,Cash,90,3294,347,253
36,22,Male,Sophomore,Engineering,1350,675,3931,462,372,147,282,149,92,269,105,190,Cash,197,4213,519,339
37,23,Non-binary,Senior,Computer Science,1309,265,5160,600,178,148,186,88,78,242,54,172,Cash,132,5346,326,260
38,21,Female,Senior,Biology,965,251,5344,695,249,88,249,49,29,298,96,31,Cash,125,5593,337,80
39,20,Female,Senior,Engineering,600,392,5733,791,309,178,67,22,29,142,74,105,Mobile Payment App,103,5800,487,127
40,24,Female,Freshman,Engineering,605,118,5696,653,165,189,151,86,82,117,83,156,Mobile Payment App,165,5847,354,242
41,25,Male,Sophomore,Economics,804,140,5332,517,289,147,153,125,43,159,44,127,Cash,87,5485,436,252
42,23,Female,Sophomore,Economics,1274,449,4639,755,137,55,249,103,50,176,67,175,Cash,117,4888,192,278
43,23,Male,Junior,Psychology,509,942,3958,511,391,192,264,57,85,108,115,141,Credit/Debit Card,200,4222,583,198
44,23,Female,Senior,Economics,1285,881,3823,740,253,182,230,32,92,118,34,39,Credit/Debit Card,126,4053,435,71
45,18,Male,Freshman,Computer Science,929,348,3854,590,204,196,183,129,80,163,116,55,Credit/Debit Card,196,4037,400,184
46,25,Non-binary,Freshman,Psychology,1163,235,4951,549,261,86,185,102,21,252,31,88,Cash,52,5136,347,190
47,19,Male,Senior,Psychology,1195,745,5269,920,167,57,88,113,60,242,35,106,Mobile Payment App,95,5357,224,219
48,25,Male,Junior,Psychology,1036,260,4141,918,122,86,105,62,88,90,169,137,Cash,257,4246,208,199
49,24,Female,Junior,Economics,588,211,4875,604,163,101,198,89,23,128,62,42,Mobile Payment App,85,5073,264,131
50,20,Female,Junior,Engineering,1377,723,5414,786,355,137,187,45,90,145,200,27,Cash,290,5601,492,72
51,21,Non-binary,Freshman,Economics,1451,479,5481,661,140,67,128,31,48,293,37,128,Credit/Debit Card,85,5609,207,159
52,19,Male,Senior,Computer Science,669,660,3823,837,193,115,75,121,65,150,96,58,Cash,161,3898,308,179
53,18,Male,Freshman,Psychology,1294,818,4079,806,115,97,71,24,31,79,107,63,Mobile Payment App,138,4150,212,87
54,24,Non-binary,Senior,Engineering,941,90,3688,963,372,197,146,32,86,109,45,198,Mobile Payment App,131,3834,569,230
55,22,Female,Sophomore,Engineering,1131,312,4244,926,339,142,237,145,93,121,91,158,Cash,184,4481,481,303
56,24,Non-binary,Freshman,Computer Science,854,700,4824,525,223,145,133,47,91,294,191,170,Cash,282,4957,368,217
57,20,Male,Sophomore,Economics,1158,653,3017,960,216,193,299,40,61,263,55,141,Mobile Payment App,116,3316,409,181
58,25,Non-binary,Sophomore,Biology,668,50,3650,466,377,161,221,60,80,180,142,86,Mobile Payment App,222,3871,538,146
59,20,Female,Junior,Biology,695,970,4694,626,304,104,200,47,71,223,93,191,Mobile Payment App,164,4894,408,238
60,20,Male,Junior,Engineering,1375,722,5389,416,132,193,149,67,27,261,46,43,Mobile Payment App,73,5538,325,110
61,23,Female,Junior,Engineering,1084,315,5205,721,230,76,141,86,34,187,159,144,Mobile Payment App,193,5346,306,230
62,18,Female,Senior,Biology,733,838,5248,977,298,164,241,85,78,281,121,168,Cash,199,5489,462,253
63,20,Non-binary,Freshman,Economics,1061,989,5194,464,370,58,77,135,34,124,40,171,Mobile Payment App,74,5271,428,306
64,19,Female,Junior,Computer Science,1352,13,3403,477,144,82,190,109,84,81,56,80,Mobile Payment App,140,3593,226,189
65,19,Male,Freshman,Biology,1092,550,5841,916,150,143,257,90,29,262,192,177,Mobile Payment App,221,6098,293,267
66,24,Male,Freshman,Economics,963,367,3830,883,260,79,139,135,64,54,81,74,Mobile Payment App,145,3969,339,209
67,21,Female,Junior,Engineering,1204,121,4261,488,283,111,287,115,56,230,85,24,Credit/Debit Card,141,4548,394,139
68,23,Male,Senior,Engineering,1184,104,5380,940,115,185,171,58,45,111,30,169,Mobile Payment App,75,5551,300,227
69,22,Male,Junior,Economics,562,728,4560,986,306,105,109,90,99,187,195,34,Mobile Payment App,294,4669,411,124
70,19,Male,Freshman,Economics,1218,878,4643,451,234,169,240,105,21,238,101,38,Mobile Payment App,122,4883,403,143
71,21,Non-binary,Sophomore,Computer Science,1235,805,5442,745,390,150,228,96,80,104,35,131,Cash,115,5670,540,227
72,23,Non-binary,Sophomore,Economics,1424,367,3220,684,328,118,91,143,88,98,159,54,Cash,247,3311,446,197
73,22,Female,Freshman,Biology,1176,804,4272,861,305,97,106,103,43,185,104,67,Mobile Payment App,147,4378,402,170
74,25,Female,Sophomore,Engineering,1334,81,3986,873,180,186,236,23,61,88,87,33,Credit/Debit Card,148,4222,366,56
75,19,Female,Senior,Computer Science,1442,354,5371,733,153,166,105,29,80,86,137,109,Cash,217,5476,319,138
76,22,Male,Sophomore,Computer Science,983,862,5650,648,159,128,259,124,97,96,150,134,Cash,247,5909,287,258
77,24,Female,Sophomore,Computer Science,914,24,4881,564,149,55,61,129,79,180,94,33,Credit/Debit Card,173,4942,204,162
78,22,Non-binary,Senior,Economics,898,155,5428,868,175,129,148,114,74,196,104,77,Cash,178,5576,304,191
79,23,Non-binary,Junior,Economics,1164,357,5212,631,331,125,199,115,48,130,107,196,Cash,155,5411,456,311
80,18,Female,Freshman,Biology,1484,594,4636,518,299,74,55,104,87,122,171,193,Mobile Payment App,258,4691,373,297
81,19,Female,Junior,Biology,1127,850,5104,623,385,94,193,29,57,259,113,31,Mobile Payment App,170,5297,479,60
82,24,Non-binary,Senior,Biology,1105,671,5501,841,235,164,109,144,100,252,198,36,Cash,298,5610,399,180
83,19,Male,Freshman,Computer Science,1351,156,4529,678,186,178,75,34,95,97,140,75,Mobile Payment App,235,4604,364,109
84,22,Female,Freshman,Biology,930,768,3050,490,349,54,174,80,51,278,143,41,Mobile Payment App,194,3224,403,121
85,25,Non-binary,Senior,Computer Science,1346,932,5683,718,376,152,156,94,81,220,145,83,Credit/Debit Card,226,5839,528,177
86,25,Non-binary,Sophomore,Computer Science,1240,44,3901,618,315,177,180,41,63,247,112,138,Credit/Debit Card,175,4081,492,179
87,25,Female,Junior,Computer Science,727,143,4051,840,269,119,121,132,40,173,198,125,Credit/Debit Card,238,4172,388,257
88,20,Female,Junior,Economics,622,959,4707,431,234,184,264,54,84,295,162,177,Mobile Payment App,246,4971,418,231
89,23,Male,Sophomore,Economics,800,933,5304,421,144,97,51,103,66,247,183,92,Credit/Debit Card,249,5355,241,195
90,18,Non-binary,Junior,Psychology,1199,516,5959,778,260,82,238,74,82,149,126,62,Credit/Debit Card,208,6197,342,136
91,19,Male,Senior,Economics,1006,392,3526,411,357,109,268,107,94,65,138,145,Cash,232,3794,466,252
92,23,Non-binary,Sophomore,Economics,1295,903,4423,791,397,144,64,59,79,187,189,113,Mobile Payment App,268,4487,541,172
93,18,Male,Sophomore,Economics,1222,625,4236,862,127,180,63,91,90,191,87,122,Mobile Payment App,177,4299,307,213
94,18,Female,Senior,Computer Science,1384,800,4822,809,237,174,85,21,72,130,185,104,Credit/Debit Card,257,4907,411,125
95,18,Female,Junior,Engineering,1035,513,3367,760,182,57,95,119,21,166,149,119,Credit/Debit Card,170,3462,239,238
96,20,Male,Freshman,Economics,1395,723,5126,551,258,130,81,102,84,234,172,78,Credit/Debit Card,256,5207,388,180
97,18,Non-binary,Sophomore,Biology,767,457,5096,780,331,200,115,89,27,265,175,158,Credit/Debit Card,202,5211,531,247
98,24,Female,Senior,Biology,933,452,4706,787,166,136,106,112,63,270,86,29,Cash,149,4812,302,141
99,23,Male,Junior,Psychology,803,796,3471,931,293,54,146,142,58,84,104,41,Mobile Payment App,162,3617,347,183
100,22,Male,Sophomore,Psychology,1333,231,3300,971,295,51,219,91,94,259,161,50,Cash,255,3519,346,141
101,23,Female,Senior,Psychology,1115,437,5317,818,341,136,116,115,22,56,38,106,Mobile Payment App,60,5433,477,221
102,20,Female,Sophomore,Psychology,920,149,3366,636,295,143,77,120,96,137,162,178,Cash,258,3443,438,298
103,25,Male,Junior,Psychology,780,95,5931,759,216,99,251,20,38,192,105,97,Cash,143,6182,315,117
104,21,Female,Junior,Psychology,882,912,5570,555,305,103,81,112,28,112,162,197,Mobile Payment App,190,5651,408,309
105,21,Female,Senior,Computer Science,959,258,3200,464,360,153,220,26,88,144,161,134,Cash,249,3420,513,160
106,25,Female,Senior,Psychology,748,494,4789,447,353,164,201,60,43,99,93,172,Mobile Payment App,136,4990,517,232
107,21,Male,Junior,Biology,810,73,4884,742,112,173,276,136,63,294,161,136,Mobile Payment App,224,5160,285,272
108,20,Male,Sophomore,Computer Science,965,322,4992,433,175,56,71,89,74,66,59,130,Mobile Payment App,133,5063,231,219
109,24,Male,Senior,Psychology,784,513,4906,863,116,110,140,116,56,264,179,160,Credit/Debit Card,235,5046,226,276
110,22,Male,Sophomore,Economics,970,553,5894,680,344,156,114,120,79,53,40,156,Mobile Payment App,119,6008,500,276
111,23,Non-binary,Senior,Economics,1349,873,5866,661,205,129,88,72,28,192,72,101,Credit/Debit Card,100,5954,334,173
112,19,Female,Senior,Psychology,760,61,5429,831,268,84,63,26,92,278,185,60,Credit/Debit Card,277,5492,352,86
113,21,Female,Freshman,Computer Science,702,273,4977,906,385,106,277,148,41,205,149,116,Cash,190,5254,491,264
114,21,Male,Junior,Engineering,720,675,5309,661,284,95,153,93,21,108,81,64,Mobile Payment App,102,5462,379,157
115,22,Male,Freshman,Biology,1286,789,3618,902,343,194,182,74,62,171,126,112,Mobile Payment App,188,3800,537,186
116,22,Female,Sophomore,Engineering,1135,261,4753,629,335,168,97,113,60,223,44,62,Cash,104,4850,503,175
117,18,Non-binary,Senior,Engineering,1030,240,3108,859,386,147,208,27,60,265,36,23,Credit/Debit Card,96,3316,533,50
118,21,Female,Senior,Engineering,1265,722,4579,760,122,122,63,34,48,250,153,184,Credit/Debit Card,201,4642,244,218
119,24,Female,Freshman,Psychology,1175,803,5634,444,290,170,63,25,37,275,111,101,Mobile Payment App,148,5697,460,126
120,23,Female,Freshman,Psychology,1083,10,5275,640,236,153,257,62,87,188,55,59,Mobile Payment App,142,5532,389,121
